country,locs,pop,lat,lng
1L,台中市,臺中市西區公館路,24.3528967,120.6231235
1L,台中市,台中市外埔區甲后路,24.3374715,120.6457994
1L,台中市,台中市外埔區甲后路,24.3374715,120.6457994
1L,台中市,台中市后里區甲后路三段,24.316342,120.6780453
1L,台中市,台中市清水區臨港路,24.3078299,120.5909206
1L,台中市,台中市后里區文化路,24.3078173,120.7130003
1L,台中市,台中市后里區文化路,24.3078173,120.7130003
1L,台中市,臺中市后里區中興街,24.3069771,120.7259518
1L,台中市,台中市后里區大圳路,24.3052321,120.7098394
1L,台中市,台中市清水區中山路,24.287285,120.5853791
1L,台中市,台中市清水區中山路,24.287285,120.5853791
1L,台中市,台中市清水區中山路,24.287285,120.5853791
1L,台中市,台中市清水區鎮新路,24.2737652,120.5724392
1L,台中市,台中市石岡區豐勢路,24.2730962,120.790713
1L,台中市,台中市清水區中興街,24.2716607,120.5759726
1L,台中市,台中市清水區中興街,24.2716607,120.5759726
1L,台中市,台中市清水區中興街,24.2716607,120.5759726
1L,台中市,台中市清水區中興街,24.2716607,120.5759726
1L,台中市,台中市豐原區豐勢路二段,24.2685099,120.749605
1L,台中市,台中市豐原區豐勢路二段,24.2685099,120.749605
1L,台中市,台中市豐原區豐勢路二段,24.2685099,120.749605
1L,台中市,台中市清水區鎮南街,24.2676738,120.574347
1L,台中市,台中市清水區民安路,24.2640435,120.549168
1L,台中市,台中市梧棲區臨港路四段,24.2634947,120.52887
1L,台中市,台中市豐原區文昌街,24.2601739,120.7166155
1L,台中市,台中市豐原區文昌街,24.2601739,120.7166155
1L,台中市,台中市神岡區中正路,24.2577679,120.6574604
1L,台中市,台中市豐原區源豐路,24.2565247,120.7186961
1L,台中市,台中市梧棲區港埠路二段,24.2564686,120.5388189
1L,台中市,台中市梧棲區港埠路二段,24.2564686,120.5388189
1L,台中市,台中市梧棲區中和街,24.2564589,120.5321368
1L,台中市,台中市梧棲區中興路,24.255807,120.5339124
1L,台中市,台中市梧棲區中興路,24.255807,120.5339124
1L,台中市,台中市梧棲區中興路,24.255807,120.5339124
1L,台中市,台中市神岡區三民南路,24.2555976,120.6555541
1L,台中市,台中市神岡區三民南路,24.2555976,120.6555541
1L,台中市,台中市神岡區三民南路,24.2555976,120.6555541
1L,台中市,台中市神岡區三民南路,24.2555976,120.6555541
1L,台中市,台中市梧棲區民族路,24.2554484,120.5618901
1L,台中市,台中市豐原區豐中路,24.2541292,120.7229519
1L,台中市,台中市豐原區新生北路,24.2536372,120.7206449
1L,台中市,台中市南區忠明南路,24.2536372,120.7206449
1L,台中市,台中市豐原區新生北路,24.2536372,120.7206449
1L,台中市,台中市豐原區三民路,24.2534906,120.7195962
1L,台中市,台中市豐原區三民路,24.2534906,120.7195962
1L,台中市,台中市豐原區三民路,24.2534906,120.7195962
1L,台中市,台中市豐原區三民路,24.2534906,120.7195962
1L,台中市,台中市豐原區三民路,24.2534906,120.7195962
1L,台中市,台中市梧棲區忠孝街,24.2529334,120.5451072
1L,台中市,台中市神岡區大漢街,24.252861,120.6992208
1L,台中市,台中市神岡區大漢街,24.252861,120.6992208
1L,台中市,台中市神岡區大漢街,24.252861,120.6992208
1L,台中市,台中市神岡區大漢街,24.252861,120.6992208
1L,台中市,台中市太平區中山路一段,24.252861,120.6992208
1L,台中市,台中市神岡區大漢街,24.252861,120.6992208
1L,台中市,台中市神岡區大漢街,24.252861,120.6992208
1L,台中市,台中市梧棲區民生街,24.25257,120.5322024
1L,台中市,台中市豐原區向陽路,24.2521449,120.7262478
1L,台中市,台中市新社區中和街五段,24.2521202,120.8081992
1L,台中市,台中市神岡區中山路,24.2520435,120.6747186
1L,台中市,台中市神岡區中山路,24.2520435,120.6747186
1L,台中市,台中市神岡區中山路,24.2520435,120.6747186
1L,台中市,台中市豐原區建成路,24.2518884,120.7074768
